"","SubID","socialConnectedness_mean","time","loneliness_mean","traitEmpathyIRI_mean","traitEmpathyIRI_fant_mean","traitEmpathyIRI_PT_mean","traitEmpathyIRI_EC_mean","traitEmpathyIRI_PD_mean","IOS_immediateFamily","IOS_immediateFamilyNum","IOS_extendedFamily","IOS_extendedFamilyNum","IOS_friend","IOS_friendNum","IOS_acquaintance","IOS_acquaintanceNum","IOS_strangerNum","inclusionOtherSelf_mean","inclusionOtherSelf_mean_nostranger","wellbeingPresent","wellbeingFuture","wellbeing_mean","attentionCheck1","attentionCheck2","attentionCheck3","socialConnectedness_mean_T1","loneliness_mean_T1","traitEmpathyIRI_mean_T1","traitEmpathyIRI_fant_mean_T1","traitEmpathyIRI_PT_mean_T1","traitEmpathyIRI_EC_mean_T1","traitEmpathyIRI_PD_mean_T1","IOS_immediateFamily_T1","IOS_immediateFamilyNum_T1","IOS_extendedFamily_T1","IOS_extendedFamilyNum_T1","IOS_friend_T1","IOS_friendNum_T1","IOS_acquaintance_T1","IOS_acquaintanceNum_T1","IOS_strangerNum_T1","inclusionOtherSelf_mean_T1","inclusionOtherSelf_mean_nostranger_T1","wellbeingPresent_T1","wellbeingFuture_T1","wellbeing_mean_T1","priorMedExpClosed","priorMedExpOpen","priorMedExpHours","age","agefull","birth","pronouns","yearslivedUS","UserLang","firstLangEng","yearsspeakingEng","zip","EnglishProficiency","jobtitle","householdNum","householdComp1","householdComp2","householdComp3","householdComp4","politicalIssues","socialIssues","economicIssues","evangelic","spirituality","gender","ethnicity","ethnicityDescribe","education","educationfull","employment","employmentDescribe","employmentfull","income","incomefull","religionAffiliation","religionStrength","handedness","Female","Male","Other_gender","NoCollegeDegree","YesCollegeDegree","Lower","Upper","Dont_know","Employed","Unemployed","Student","Other_employment","White","Black","Hispanic","OtherRace","Asian","Other","recruited","openQuestion","commitmentRequest","attentionCheck1_T1","attentionCheck2_T1","attentionCheck3_T1","socialConnectedness_mean_T2","loneliness_mean_T2","traitEmpathyIRI_mean_T2","traitEmpathyIRI_fant_mean_T2","traitEmpathyIRI_PT_mean_T2","traitEmpathyIRI_EC_mean_T2","traitEmpathyIRI_PD_mean_T2","IOS_immediateFamily_T2","IOS_immediateFamilyNum_T2","IOS_extendedFamily_T2","IOS_extendedFamilyNum_T2","IOS_friend_T2","IOS_friendNum_T2","IOS_acquaintance_T2","IOS_acquaintanceNum_T2","IOS_strangerNum_T2","inclusionOtherSelf_mean_T2","inclusionOtherSelf_mean_nostranger_T2","wellbeingPresent_T2","wellbeingFuture_T2","wellbeing_mean_T2","attentionCheck1_T2","attentionCheck2_T2","attentionCheck3_T2","GroupID","medFinish","medStart","medEnd","medNumCompleted","medPercentageCompleted","medicationsScanday"
"11",11,4.6,1,2.3,2.89285714285714,2.57142857142857,3.57142857142857,3.14285714285714,2.28571428571429,"Twin Brother",4,"Cousin",3,"Childhood friend",4,"Neighbor",2,2,3,3.25,7,10,8.5,"6","1","2",4.6,2.3,2.89285714285714,2.57142857142857,3.57142857142857,3.14285714285714,2.28571428571429,"Twin Brother",4,"Cousin",3,"Childhood friend",4,"Neighbor",2,2,3,3.25,7,10,8.5,"2","","","20","young adult","09/02/2002","2","21","EN","1","","14222","","Student. Work at coffee shop part time.","5","3","3","1","1","5","2","5","","3","male","White","","NoCollegeDegree","Some college","Employed","","2,5","Dont_know","Dont know","Roman Catholic","4","Right",0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,"Flyer","","2","6","1","2",4.7,2.1,2.92857142857143,2.28571428571429,3.85714285714286,3.28571428571429,2.28571428571429,"My twin sibling",4,"My cousin",3,"My childhood best friend",4,"My neighbor",2,2,3,3.25,8,9,8.5,"6","1","2","LKM",1,"2/27","3/25",21,87.5,NA
"12",14,4.1,1,3,3.42857142857143,4.14285714285714,3.14285714285714,3.85714285714286,2.57142857142857,"younger sister",6,"grandmother",1,"college friend",5,"neighbor",3,1,3.2,3.75,5,7,6,"6","1","2",4.1,3,3.42857142857143,4.14285714285714,3.14285714285714,3.85714285714286,2.57142857142857,"younger sister",6,"grandmother",1,"college friend",5,"neighbor",3,1,3.2,3.75,5,7,6,"2","","","19","young adult","3/31/03","1","20","EN","1","","54913","","","6","3","4","1","1","1","1","1","","1","female","White","","NoCollegeDegree","Some college","Student","","Full-time student","Upper","Over $180,000","Nothing","1","Right",1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,"a friend","","2","6","1","2",4.6,2.65,3.60714285714286,3.85714285714286,3.71428571428571,4,2.85714285714286,"mother",3,"grandmother",2,"high school friend",6,"neighbor",3,1,3,3.5,6,8,7,"6","1","2","LKM",1,"2/20","3/18",23,95.83,"glycopyrrolate, zyrtec"
"13",15,4.75,1,2.35,3.67857142857143,4.28571428571429,3.85714285714286,4.14285714285714,2.42857142857143,"Mother",5,"Cousin",3,"Vivian",6,"Cafeteria Worker",2,1,3.4,4,8,9,8.5,"6","1","2",4.75,2.35,3.67857142857143,4.28571428571429,3.85714285714286,4.14285714285714,2.42857142857143,"Mother",5,"Cousin",3,"Vivian",6,"Cafeteria Worker",2,1,3.4,4,8,9,8.5,"2","","","19","young adult","April 28, 2003","1","20","EN","1","","20057","","Student at Georgetown University","5","3","2","2","1","3","2","3","","4","female","Asian","","NoCollegeDegree","Some college","Student","","Full-time student","Upper","$90,000 - $179,999","Nothing","3","Both",1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,"From my friend at Georgetown","","2","6","1","2",4.8,1.9,3.67857142857143,4,3.85714285714286,3.71428571428571,3.14285714285714,"Mother",5,"Cousin",3,"Isabella (Roommate and good friend)",5,"Food Delivery Driver",2,3,3.6,3.75,7,9,8,"6","1","2","LKM",1,"2/27","3/25",19,79.17,NA
"14",17,4,1,2.45,3.64285714285714,4.14285714285714,3,3.85714285714286,3.57142857142857,"Sibling",4,"Aunt",2,"Childhood friend",4,"Neighbor",1,1,2.4,2.75,7,8,7.5,"6","1","2",4,2.45,3.64285714285714,4.14285714285714,3,3.85714285714286,3.57142857142857,"Sibling",4,"Aunt",2,"Childhood friend",4,"Neighbor",1,1,2.4,2.75,7,8,7.5,"2","","","21","young adult","March 9, 2001","1","22","EN","1","","20007","","Student, retail worker at pressed juicery","4","1","1","1","4","4","2","4","","2","female","White","","NoCollegeDegree","Some college","Employed","","2,6","Upper","Over $180,000","Roman Catholic","2","Right",1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,"Flyer",NA,"2","6","1","2",4,1.95,3.60714285714286,4.14285714285714,3.71428571428571,4,2.57142857142857,"mom",5,"cousin",4,"childhood friend",5,"classmate",3,2,3.8,4.25,6,8,7,"6","1","2","PMR",1,"3/6/2023","4/1/2023",23,95.83,NA
"15",18,4.1,1,2.45,3.53571428571429,4.42857142857143,3,3.71428571428571,3,"Michael - Older brother",2,"Uncle Pat",1,"Quinn - Friend and housemate",3,"Erika - piercer",1,2,1.8,1.75,7,8,7.5,"6","1","2",4.1,2.45,3.53571428571429,4.42857142857143,3,3.71428571428571,3,"Michael - Older brother",2,"Uncle Pat",1,"Quinn - Friend and housemate",3,"Erika - piercer",1,2,1.8,1.75,7,8,7.5,"1","I've taken a class on transcendental meditation before and have done many guided meditations. Recently I have not been meditating. ","1","26","young adult","10/01/1996","1","27","EN","1","","20007","","I work two part time jobs. I am a barista where I prepare espresso and drip coffee drinks as well as tea, and I am also a play aid/social skills support for children receiving Floortime Therapy. ","3","1","1","1","3","1","1","1","","5","female","Asian","","YesCollegeDegree","Four-year college degree (B.A., B.S.)","Employed","","Employed part-time for pay","Lower","$15,000 - $24,999","Agnostic","1","Right",1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,"A flyer at the Connie Morella library ","Can I still do an MRI with my piercings in or would I have to take them out?","2","6","1","2",4.85,2,3.82142857142857,4.14285714285714,3.42857142857143,4.71428571428571,3,"Dad",2,"Aunt Kathleen",1,"Orlan",4,"Hairdresser",1,2,2,2,7,9,8,"6","1","2","LKM",1,"3/6","4/1",21,87.5,"Prozac, Spironolactone, Buspirone, Oral birth control"
"16",21,3.9,1,3.35,4.10714285714286,4.42857142857143,4.71428571428571,4.85714285714286,2.42857142857143,"Mother",1,"Brother ",1,"Father",1,"Neighbor ",3,3,1.8,1.5,4,4,4,"6","1","2",3.9,3.35,4.10714285714286,4.42857142857143,4.71428571428571,4.85714285714286,2.42857142857143,"Mother",1,"Brother ",1,"Father",1,"Neighbor ",3,3,1.8,1.5,4,4,4,"2","","","43","middle adult","2/22/80","1","24","EN","1","","22304","","Logistics project management ","1","1","1","1","1","4","2","4","","6","female","White","","YesCollegeDegree","Masters degree (for example, M.B.A., M.A., M.S.)","Other","Disabled","Other","Lower","$25,000 - $39,999","Agnostic","2","Right",1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,"Email","🙌","2","6","1","2",3.3,3.2,4,4.85714285714286,4.14285714285714,4.85714285714286,2.14285714285714,"Mother ",3,"Aunt",1,"Friend 1",3,"Acquaintance 1",2,2,2.2,2.25,5,7,6,"6","1","2","LKM",1,"3/13","4/8",23,95.83,NA
"17",22,3.75,1,2.25,3.64285714285714,5,3.14285714285714,4.42857142857143,2,"spouse",5,"cousin",2,"childhood friend (Biz)",3,"Neighbor (Lauren)",2,1,2.6,3,7,7,7,"6","1","2",3.75,2.25,3.64285714285714,5,3.14285714285714,4.42857142857143,2,"spouse",5,"cousin",2,"childhood friend (Biz)",3,"Neighbor (Lauren)",2,1,2.6,3,7,7,7,"2","","","32","young adult","11/04/1990","1","33","EN","1","","20722","","Public Affairs Specialist. I manage projects for the communications and public affairs office at the National Institutes of Health. For example, I compiled and wrote an NIH Style Guide for inclusive writing and health communication. ","3","1","2","1","1","2","3","2","2","6","female","White","","YesCollegeDegree","Four-year college degree (B.A., B.S.)","Employed","","Employed full-time for pay","Upper","$90,000 - $179,999","Protestant","6","Right",1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,"Through a Research Match email. ","I just want to make the caveat that I like people and have many friends from childhood and college, but I have a hard time trusting and meeting new people. I also live a good distance away from many of my childhood/college friends, so that may explain some of my answers. ","2","6","1","2",4.45,2,3.71428571428571,5,3.42857142857143,4.71428571428571,1.71428571428571,"Spouse",6,"Aunt",3,"Biz",3,"Neighbor",2,1,3,3.5,7,8,7.5,"6","1","2","LKM",1,"3/13","4/8",23,95.83,NA
"18",23,2.4,1,2.3,2.5,1.57142857142857,2.85714285714286,3.71428571428571,1.85714285714286,"daughter we are very close",7,"ty my daughter n law ",6,"childhood friend kind of close",3,"ms lucy my nieghbor",2,1,3.8,4.5,7,6,6.5,"6","1","2",2.4,2.3,2.5,1.57142857142857,2.85714285714286,3.71428571428571,1.85714285714286,"daughter we are very close",7,"ty my daughter n law ",6,"childhood friend kind of close",3,"ms lucy my nieghbor",2,1,3.8,4.5,7,6,6.5,"2","","","59","middle adult","01/05/1964","1","60","EN","1","","20032","","retired     receptionist","3","1","3","1","1","4","5","3","2","4","female","Black","","NoCollegeDegree","High school graduate or G.E.D.","Other","","Retired","Lower","$40,000 - $59,999","Protestant","4","Right",1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,"email","no","2","6","1","2",3.3,3,3.14285714285714,1.85714285714286,3.85714285714286,4.71428571428571,2.14285714285714,"child",1,"nephew",3,"childhood friend",5,"neighbor",4,1,2.8,3.25,7,8,7.5,"6","1","2","LKM",1,"3/13","4/8",24,100,NA
"19",24,5,1,1.7,3.60714285714286,4.14285714285714,4.42857142857143,4,1.85714285714286,"Sister",4,"Cousin",3,"Vince",4,"Elizabeth ",4,2,3.4,3.75,8,9,8.5,"6","1","2",5,1.7,3.60714285714286,4.14285714285714,4.42857142857143,4,1.85714285714286,"Sister",4,"Cousin",3,"Vince",4,"Elizabeth ",4,2,3.4,3.75,8,9,8.5,"1","Several years ago I took a month-long meditation course","1","65","old adult","10/04/1957","2","67","EN","1","","20912","","Pharmacist ","2","1","1","1","1","1","1","2","2","7","male","White","","YesCollegeDegree","Masters degree (for example, M.B.A., M.A., M.S.)","Employed","","Employed full-time for pay","Upper","Over $180,000","Protestant","2","Right",0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,"Research Match","Thank you ","2","6","1","2",4.75,1.85,3.46428571428571,3.42857142857143,4.14285714285714,3.71428571428571,2.57142857142857,"Spouse",4,"Cousin",2,"Colleen work friend ",3,"Justin, restaurant manager",3,1,2.6,3,8,9,8.5,"6","1","2","PMR",1,"3/20/2023","4/15/2023",24,100,NA
"20",26,3.7,1,2.65,3.39285714285714,3.57142857142857,3.42857142857143,3.85714285714286,2.71428571428571,"Mother/parent",2,"Cousin",1,"Camille/childhood friend",5,"neighbor",1,1,2,2.25,5,8,6.5,"6","1","2",3.7,2.65,3.39285714285714,3.57142857142857,3.42857142857143,3.85714285714286,2.71428571428571,"Mother/parent",2,"Cousin",1,"Camille/childhood friend",5,"neighbor",1,1,2,2.25,5,8,6.5,"2","","","27","young adult","12/19/1995","1","19","EN","1","","11237","","Program assistant at a nonprofit 
I do admin work but also research and operations","2","1","1","1","2","2","2","2","","3","female","Asian","","YesCollegeDegree","Four-year college degree (B.A., B.S.)","Employed","","Employed part-time for pay","Upper","$90,000 - $179,999","Muslim","3","Left",1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,"Researchmatch I believe","","2","6","1","2",3.5,2.55,3.17857142857143,3,3.28571428571429,3.57142857142857,2.85714285714286,"parent",3,"cousin",4,"childhood friend",4,"neighbor",2,1,2.8,3.25,6,8,7,"6","1","2","PMR",1,"3/13/2023","4/8/2023",24,100,NA
